Operation,Variables
add,"['1', '2']"
add,"['1', '5']"
add,"['1', '2']"
add,"['1', '2']"
subtract,"['10', '4']"
multiply,"['5', '3', '2']"
add,"['1', '2', '3']"
add,"['1', '2', '3']"
add,"['1', '2', '3']"
add,"['1', '2', '3', '4', '5', '6', '7', '8', '9']"
add,"['1', '2', '3', '4', '5', '6', '7', '8', '9']"
add,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
add,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
add,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
add,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
add,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
add,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
add,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
add,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
add,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
add,"['1', '2']"
add,"['10', '20']"
add,"[""'1'"", ""'2'""]"
add,"'1', '2'"
add,"1', '2"
add,"['1', '2']"
add,"['1', '2']"
add,"['1', '2']"
add,"['1', '2']"
add,"['1', '2']"
subtract,"['10', '8']"
subtract,"['10', '8', '1']"
